"WORD","kind"
"不可思議","1"
"不平","0"
"不⽢","0"
"不安","0"
"不利","0"
"不⾜","0"
"不定","0"
"不宜","0"
"不幸","0"
"不拘⼩節","1"
"不服","0"
"不知所措","0"
"不便","0"
"不耐","0"
"不耐煩","0"
"不准","0"
"不屑","0"
"不悅","0"
"不爽","0"
"不祥","0"
"不符","0"
"不順","0"
"不當","0"
"不解","0"
"不滿","0"
"不適","0"
"正","1"
"多餘","0"
"好","1"
"否定","0"
"否認","0"
"⾜夠","1"
"肯定","1"
"哇","1"
"哎呀","1"
"恰好","1"
"耶","1"
"單獨","0"
"無⼒","0"
"無⾜輕重","0"
"無情","0"
"無理","0"
"無暇","0"
"無趣","0"
"無禮","0"
"想","1"
"過分","0"
"對","1"
"認真","1"
"嘻","1"
"嘻嘻","1"
"隨便","0"
"隨意","1"
"豐富","1"
"願意","1"
"⼩⼼","1"
"分享","1"
"⽀持","1"
"⽀撐","1"
"付出","1"
"失去","0"
"失敗","0"
"打","0"
"同意","1"
"成功","1"
"死","0"
"吸引","1"
"希望","1"
"忘記","0"
"協助","1"
"抱","1"
"玩","1"
"信任","1"
"相信","1"
"討厭","0"
"貢獻","1"
"逃避","0"
"喜愛","1"
"喜歡","1"
"喪失","0"
"期望","1"
"答應","1"
"幹","0"
"愛","1"
"愛好","1"
"感謝","1"
"損失","0"
"經歷","1"
"遇到","1"
"遊戲","1"
"⿎勵","1"
"適合","1"
"擔⼼","0"
"輸","0"
"錯過","0"
"幫忙","1"
"幫助","1"
"應付","0"
"謝謝","1"
"懷念","1"
"關⼼","1"
"關懷","1"
"贏","1"
"贏得","1"
"下流","0"
"王八蛋","0"
"他媽的","0"
"⽩⽬","0"
"⽩癡","0"
"呸","0"
"垃圾","0"
"怪胎","0"
"放屁","0"
"狗屁","0"
"淫婦","0"
"混蛋","0"
"笨蛋","0"
"媽的","0"
"愚蠢","0"
"該死","0"
"賤","0"
"賤⼈","0"
"賤貨","0"
"操","0"
"蕩婦","0"
"蹩腳","0"
"壞蛋","0"
"爛貨","0"
"⽩痴","0"
"八卦","0"
"仇⼈","0"
"仇恨","0"
"仇敵","0"
"分擔","1"
"友","1"
"反駁","0"
"打岔","0"
"打架","0"
"打斷","0"
"交往","1"
"同情","1"
"安⼼","1"
"伴侶","1"
"忌妒","0"
"批評","0"
"抗議","0"
"取笑","0"
"坦⽩","1"
"奉承","0"
"奉獻","1"
"抱怨","0"
"拒絕","0"
"放⼼","1"
"朋友","1"
"爭吵","0"
"爭論","0"
"知⼰","1"
"侮辱","0"
"信服","1"
"信賴","1"
"冒犯","0"
"怨恨","0"
"指責","0"
"原諒","1"
"辱罵","0"
"⾾爭","0"
"情⼈","1"
"甜⼼","1"
"責備","0"
"逗弄","1"
"插嘴","0"
"款待","1"
"詛咒","0"
"開玩笑","1"
"閒話","0"
"愛⼈","1"
"愛戀","1"
"隔離","0"
"嘉獎","1"
"稱讚","1"
"說服","1"
"說長道短","0"
"駁斥","0"
"嘲弄","0"
"嘲笑","0"
"嘲罵","0"
"嘲諷","0"
"寬恕","1"
"慶典","1"
"慶祝","1"
"憐憫","1"
"摯友","1"
"敵⼈","0"
"樂意","1"
"熱愛","1"
"調情","1"
"諂媚","0"
"親切","1"
"親愛","1"
"親愛的","1"
"幫⼿","1"
"戲弄","0"
"鍾愛","1"
"歸咎","0"
"離婚","0"
"懷疑","0"
"譏","0"
"寶⾙","1"
"饒恕","1"
"譴責","0"
"歡迎","1"
"歡送","1"
"歡聚","1"
"戀⼈","1"
"戀愛","1"
"讚美","1"
"讚揚","1"
"讚譽","1"
"ㄏㄏ","1"
"⼀無所有","0"
"七竅⽣煙","0"
"了不起","1"
"⼈⼼惶惶","0"
"上級","1"
"上當","0"
"下定決⼼","1"
"⼝吃","0"
"⼤⽅","1"
"⼤笑","1"
"⼤膽","1"
"⼩氣","0"
"⼩偷","0"
"才能","1"
"才智","1"
"不仁","0"
"不貞","0"
"不顧⼀切","1"
"中斷","1"
"仁⼼","1"
"仁術","1"
"仁愛","1"
"仁慈","1"
"仁義","1"
"仇","0"
"仇殺","0"
"仇視","0"
"元兇","0"
"內疚","0"
"公憤","0"
"凶","0"
"分⼼","0"
"分⼿","0"
"分歧","0"
"分紅","1"
"分散","0"
"分裂","0"
"勾引","0"
"厄運","0"
"及時","1"
"反抗","0"
"反叛","0"
"反派","0"
"反感","0"
"反對","0"
"天才","1"
"天堂","1"
"天資","1"
"天賦","1"
"幻想","1"
"引⼈注⽬","1"
"引誘","0"
"⼼灰意冷","0"
"⼼神不定","0"
"⼼神不寧","0"
"⼼情","1"
"⼼痛","0"
"⼼愛","1"
"⼼煩意亂","0"
"⼼碎","0"
"⼼酸","0"
"⽀配","1"
"⽋債","0"
"⽑骨悚然","0"
"火熱","1"
"世仇","0"
"乏味","0"
"仔細","1"
"充沛","1"
"出⾊","1"
"功勞","1"
"古怪","0"
"可⼝","1"
"可怕","0"
"可恥","0"
"可笑","0"
"可悲","0"
"可惡","0"
"可愛","1"
"可鄙","0"
"可憎","0"
"可憐","0"
"可靠","1"
"外向","1"
"外⾏","0"
"外傷","0"
"失眠","0"
"失控","0"
"失望","0"
"失誤","0"
"平安","1"
"平和","1"
"平庸","1"
"平靜","1"
"平穩","1"
"打仗","0"
"打倒","0"
"打破","0"
"打情罵俏","1"
"打敗","1"
"打擊","0"
"打擾","0"
"打攪","0"
"末⽇","0"
"正⾯","1"
"⽣命⼒","1"
"⽣氣","1"
"⽣氣勃勃","1"
"⽣病","0"
"⽣動","1"
"⽣疏","0"
"⽣厭","0"
"⽤⼒","1"
"⽬瞪⼝呆","1"
"⽭盾","0"
"丟⼈","0"
"丟⼈現眼","0"
"丟下","0"
"丟棄","0"
"丟臉","0"
"交戰","0"
"任性","0"
"兇","0"
"光亮","1"
"光榮","1"
"光輝","1"
"劣","0"
"危","0"
"吃醋","0"
"吃驚","0"
"合宜","1"
"回春","1"
"多情","0"
"多疑","0"
"好玩","1"
"好笑","1"
"好處","1"
"好棒","1"
"好運","1"
"妄想","0"
"安全","1"
"安逸","1"
"安寧","1"
"安靜","1"
"安穩","1"
"成⾒","0"
"成就","1"
"收穫","1"
"曲解","0"
"有⼒","1"
"有⽤","1"
"有利","1"
"有助","1"
"有害","0"
"有效","1"
"有益","1"
"有趣","1"
"有錢","1"
"次要","1"
"次等","0"
"死⼈","0"
"死亡","0"
"死不","0"
"死⼼","0"
"死刑","0"
"死氣","0"
"死期","0"
"死當","0"
"死路","0"
"死對頭","0"
"污穢","0"
"灰⼼","0"
"百感交集","0"
"⾃⼤","0"
"⾃⽢墮落","0"
"⾃由","1"
"⾃在","1"
"⾃私","0"
"⾃卑","0"
"⾃信","1"
"⾃負","1"
"⾃責","0"
"⾃尊","1"
"⾃豪","1"
"⾃鳴得意","0"
"⾃暴⾃棄","0"
"⾄⾼無上","1"
"⾄善","1"
"⾊情","0"
"伶俐","1"
"低沉","1"
"低能","0"
"低能兒","0"
"低迷","0"
"低落","0"
"佔便宜","0"
"作嘔","0"
"作弊","0"
"克制","1"
"免費","1"
"冷","0"
"冷淡","0"
"冷酷","0"
"冷靜","1"
"利⼰","1"
"利益","1"
"利潤","1"
"吝嗇","0"
"含糊","0"
"吹⽑求疵","0"
"吻","1"
"呆","0"
"困","0"
"坎坷","0"
"壯闊","1"
"壯麗","1"
"壯觀","1"
"妓女","0"
"妨害","0"
"妨礙","0"
"孝","1"
"孝順","1"
"孝敬","1"
"完美","1"
"完備","1"
"完善","1"
"宏⼤","1"
"宏偉","1"
"屁眼","0"
"岔開","0"
"巫婆","0"
"庇護","1"
"弄痛","0"
"弄壞","0"
"忍","0"
"忐忑","0"
"忘恩負義","0"
"快樂","1"
"扭曲","0"
"扶持","1"
"批判","0"
"把握","1"
"抑制","1"
"抑鬱","0"
"投入","1"
"抗爭","0"
"折磨","0"
"改善","1"
"改進","1"
"攻勢","1"
"攻擊","0"
"決⼼","1"
"決定","1"
"沉重","0"
"沉迷","0"
"沉著","1"
"災","0"
"牢騷","0"
"狂怒","0"
"狂笑","1"
"狂喜","1"
"狂暴","0"
"狂熱","1"
"狂躁","0"
"私⽣⼦","0"
"肝腸⼨斷","0"
"良","1"
"走運","1"
"辛酸","0"
"邪惡","0"
"享受","1"
"佳","1"
"使勁","1"
"依戀","1"
"典範","1"
"刺眼","0"
"刺痛","0"
"刺傷","0"
"刺激","0"
"刻薄","0"
"卑劣","0"
"卑鄙","0"
"受不了","0"
"受苦","0"
"受虐","0"
"受害","0"
"受惠","1"
"受傷","0"
"受罪","0"
"受騙","0"
"周到","1"
"呵呵","1"
"呼天搶地","0"
"命運","1"
"咆嘯","0"
"和平","1"
"和善","1"
"和煦","1"
"和睦","1"
"和諧","1"
"和藹","1"
"咒罵","0"
"固執","0"
"坦率","1"
"坦誠","1"
"奇怪","0"
"奇特","1"
"孤","0"
"宜⼈","1"
"幸運","1"
"幸福","1"
"忠","1"
"忠⼼","1"
"忠孝","1"
"忠誠","1"
"忠實","1"
"忽略","0"
"忽視","0"
"怕","0"
"怕⽣","0"
"怕羞","0"
"怡⼈","1"
"性情","1"
"性騷擾","0"
"怪","0"
"怪異","0"
"怪誕","0"
"承擔","1"
"承諾","1"
"抨擊","0"
"抱歉","0"
"抵制","0"
"拉緊","1"
"拋棄","0"
"拙劣","0"
"放任","0"
"放棄","0"
"放肆","0"
"放縱","0"
"放鬆","1"
"昂貴","0"
"明亮","1"
"明智","1"
"昏沉","0"
"昏亂","0"
"昏頭","0"
"易怒","0"
"服從","1"
"枉然","0"
"果斷","1"
"欣欣","1"
"欣喜","1"
"欣然","1"
"欣慰","1"
"欣賞","1"
"歧視","0"
"沮喪","0"
"治療","1"
"沾沾⾃喜","1"
"泣","0"
"玩耍","1"
"玩笑","1"
"玩樂","1"
"知⾜","1"
"知識","1"
"空洞","0"
"空虛","0"
"花招","0"
"長處","1"
"非⼈","0"
"非禮","0"
"非難","0"
"侵犯","0"
"侵佔","0"
"侵害","0"
"侵略","0"
"侵擾","0"
"侵襲","0"
"侷促","0"
"俊美","1"
"俗","0"
"俗氣","0"
"保衛","1"
"保證","1"
"保護","1"
"信⼼","1"
"信奉","1"
"信義","1"
"信實","1"
"信譽","1"
"冒險","1"
"冠軍","1"
"勇氣","1"
"勇敢","1"
"勉強","0"
"叛亂","0"
"咬牙切⿒","0"
"咯咯笑","1"
"哀求","0"
"哀怨","0"
"哀淒","0"
"哀痛","0"
"哀傷","0"
"哀愁","0"
"哀號","0"
"哀慟","0"
"品⾏","1"
"品德","1"
"哄騙","0"
"哈","1"
"哈哈","1"
"威脅","0"
"威嚴","1"
"帥","1"
"帥氣","1"
"幽默","1"
"後悔","0"
"怒","0"
"怒不","0"
"怒火","0"
"怒斥","0"
"怒⽬","0"
"怒⾊","0"
"怒吼","0"
"怒氣","0"
"怒視","0"
"怒罵","0"
"思","0"
"思念","0"
"思鄉","0"
"恍惚","0"
"恨","0"
"恬","1"
"恰當","1"
"拮据","0"
"拯救","1"
"拷打","0"
"拷問","0"
"拼命","1"
"挑剔","0"
"挑戰","1"
"挑釁","0"
"挖苦","0"
"柔","1"
"柔軟","1"
"柔順","1"
"柔腸⼨斷","0"
"歪曲","0"
"毒","0"
"洩氣","0"
"活⼒","1"
"活潑","1"
"活躍","1"
"流⾏","1"
"流淚","0"
"炫耀","0"
"為難","0"
"狠⼼","0"
"珍奇","1"
"珍惜","1"
"珍視","1"
"珍貴","1"
"珍愛","1"
"珍藏","1"
"盼望","1"
"看不起","0"
"約束","1"
"美⼈","1"
"美好","1"
"美妙","1"
"美味","1"
"美夢","1"
"美滿","1"
"美德","1"
"美麗","1"
"背叛","0"
"胡扯","0"
"致命","0"
"苛求","0"
"若無其事","0"
"苦","0"
"苦惱","0"
"英俊","1"
"英勇","1"
"英雄","1"
"虐待","0"
"負⼼","0"
"負債","0"
"負擔","0"
"迫害","0"
"重⼤","1"
"重擔","0"
"陌⽣","0"
"降級","0"
"⾯臨","1"
"風險","0"
"⾸要","1"
"⾸創","1"
"倒楣","0"
"倒霉","0"
"倔強","0"
"值得","1"
"值錢","1"
"凌亂","0"
"剝奪","0"
"哭泣","0"
"哭喊","0"
"哭訴","0"
"哭鬧","0"
"哽咽","0"
"唐突","0"
"奚落","0"
"娛樂","1"
"害怕","0"
"害羞","0"
"容光煥發","1"
"容忍","0"
"差","0"
"差勁","0"
"弱","0"
"弱點","0"
"徒勞無功","0"
"恐怖","0"
"恐慌","0"
"恐嚇","0"
"恐懼","0"
"恩典","1"
"恩惠","1"
"恭維","1"
"悔之","0"
"悔改","0"
"悔恨","0"
"悔悟","0"
"悔意","0"
"悔過","0"
"挫折","0"
"挫敗","0"
"振奮","1"
"捐贈","1"
"效率","1"
"時髦","1"
"書呆⼦","0"
"栩栩如⽣","1"
"氣急敗壞","0"
"氣憤","0"
"氣餒","0"
"浪漫","1"
"消沉","0"
"消極","0"
"消滅","0"
"狹⼩","0"
"狹隘","0"
"疲乏","0"
"疲於奔命","0"
"疲倦","0"
"疲弱","0"
"疲累","0"
"疲勞","0"
"疲憊","0"
"疼痛","0"
"疼愛","1"
"益處","1"
"真⼼","1"
"真相","1"
"真理","1"
"真誠","1"
"真實","1"
"破滅","0"
"破壞","0"
"祝賀","1"
"祝福","1"
"神經病","0"
"神經質","0"
"神聖","1"
"笑","1"
"笑死","1"
"笑容","1"
"笑話","1"
"紛爭","0"
"缺少","0"
"缺乏","0"
"缺失","0"
"缺陷","0"
"缺德","0"
"缺憾","0"
"缺點","0"
"能幹","1"
"脅迫","0"
"脆弱","0"
"臭","0"
"臭味","0"
"臭氣","0"
"茫然","0"
"草率","0"
"荒唐","0"
"荒謬","0"
"虔誠","1"
"衰","0"
"衰老","0"
"衰弱","0"
"衰退","0"
"衰敗","0"
"衰微","0"
"衷⼼","1"
"討喜","1"
"迴避","0"
"迷⼈","1"
"迷失","0"
"迷惘","0"
"迷惑","0"
"迷亂","0"
"迷路","0"
"迷戀","0"
"逃離","0"
"逆向","0"
"⾼貴","1"
"⾼階","1"
"⾼雅","1"
"⾼傲","0"
"⾼興","1"
"假裝","0"
"偉⼤","1"
"偏⼼","0"
"偏好","1"
"偏⾒","0"
"偏執","0"
"偏愛","1"
"偷","0"
"偷取","0"
"偷竊","0"
"偽造","0"
"動⼈","1"
"動聽","1"
"啜泣","0"
"執拗","0"
"堅決","1"
"堅定","1"
"堅強","1"
"娼妓","0"
"寂寞","0"
"寂寥","0"
"崇拜","1"
"崇⾼","1"
"強","1"
"強⼒","1"
"強壯","1"
"強姦","0"
"強迫","0"
"強烈","1"
"強健","1"
"強硬","1"
"強暴犯","0"
"得意","1"
"得意洋洋","1"
"得罪","0"
"得體","1"
"徘徊","1"
"從容","1"
"悠閒","1"
"患病","0"
"情緒","1"
"惋惜","0"
"掃興","0"
"排斥","0"
"掙扎","0"
"掛念","1"
"掛慮","1"
"控制","0"
"推崇","1"
"敏捷","1"
"敏感","1"
"敏銳","1"
"救","1"
"敗壞","0"
"欲絕","0"
"殺","0"
"殺死","0"
"淘氣","1"
"淚流滿⾯","0"
"淚珠","0"
"淡漠","0"
"淨⼟","1"
"深思","1"
"深情","1"
"深愛","1"
"混帳","0"
"混亂","0"
"淹沒","0"
"清⽩","1"
"清楚","1"
"爽","1"
"爽⼼","1"
"爽快","1"
"爽約","0"
"爽朗","1"
"牽掛","0"
"猛烈","1"
"猜疑","0"
"理智","1"
"理想","1"
"甜⾔","1"
"甜美","1"
"甜密","1"
"甜甜","1"
"甜蜜","1"
"甜頭","1"
"疏忽","0"
"疏漏","0"
"盛怒","0"
"眼花撩亂","0"
"眼花繚亂","0"
"眼淚","0"
"眾怒","0"
"窒息","0"
"窒礙","0"
"笨","0"
"笨⼿笨腳","0"
"笨拙","0"
"粗⼼","0"
"粗俗","0"
"粗野","0"
"粗暴","0"
"粗魯","0"
"累","0"
"細⼼","1"
"統治","1"
"羞怯","0"
"羞恥","0"
"羞辱","0"
"羞愧","0"
"羞憤","0"
"莊嚴","1"
"處罰","0"
"設防","1"
"許諾","1"
"貧困","0"
"貧苦","0"
"貧病","0"
"貧窮","0"
"貧賤","0"
"貪","0"
"貪⼼","0"
"貪⽣","0"
"貪汙","0"
"貪求","0"
"貪念","0"
"貪婪","0"
"貪圖","0"
"貪慾","0"
"軟弱","0"
"逗趣","1"
"逝世","0"
"造反","0"
"野蠻","0"
"陰沉","0"
"陰森","0"
"陰暗","0"
"陳腐","0"
"陶醉","1"
"⿇⽊","0"
"⿇煩","0"
"凱旋","1"
"創傷","0"
"勝利","1"
"勝過","1"
"博愛","1"
"博學","1"
"善⼼","1"
"善良","1"
"善意","1"
"喜上眉稍","1"
"喜出望外","1"
"喜形於⾊","1"
"喜怒哀樂","1"
"喜怒無常","0"
"喜宴","1"
"喜悅","1"
"喜氣","1"
"喜從天降","1"
"喜新厭舊","0"
"喜極⽽泣","1"
"喜劇","1"
"喜慶","1"
"喝采","1"
"喪⼼","0"
"喪⽣","0"
"喪志","0"
"喪氣","0"
"喪偶","0"
"喪盡","0"
"喪膽","0"
"喪禮","0"
"報仇","0"
"報復","0"
"富有","1"
"富裕","1"
"寒酸","0"
"尊重","1"
"尊貴","1"
"尊敬","1"
"尊榮","1"
"尊嚴","1"
"尋歡作樂","0"
"就緒","1"
"復仇","0"
"悲哀","0"
"悲苦","0"
"悲悽","0"
"悲情","0"
"悲喜","0"
"悲痛","0"
"悲傷","0"
"悲愁","0"
"悲慘","0"
"悲慟","0"
"悲劇","0"
"悲憤","0"
"悲憫","0"
"悲歡","1"
"悲觀","0"
"悶","0"
"悶悶不樂","0"
"惡⼈","0"
"惡化","0"
"惡劣","0"
"惡⾔","0"
"惡性","0"
"惡毒","0"
"惡狠狠","0"
"惡耗","0"
"惡臭","0"
"惡⾾","0"
"惡意","0"
"惡運","0"
"惡夢","0"
"惱","0"
"惶","0"
"愉","1"
"提防","1"
"散漫","0"
"景仰","1"
"智慧","1"
"最好","1"
"最佳","1"
"期盼","1"
"棒","1"
"棘⼿","0"
"欺","0"
"欽佩","1"
"殘忍","0"
"殘酷","0"
"殘暴","0"
"渴求","1"
"渴望","1"
"無⽤","0"
"無助","0"
"無味","0"
"無奈","0"
"無知","0"
"無畏","1"
"無害","1"
"無效","0"
"無益","0"
"無能","0"
"無常","0"
"無望","0"
"無聊","0"
"無辜","0"
"無意義","0"
"無精打采","0"
"無憂無慮","1"
"無關緊要","1"
"無懼","1"
"焦急","0"
"焦慮","0"
"猶疑","0"
"猶豫","0"
"痛","0"
"痛不欲⽣","0"
"痛苦","0"
"痛哭流涕","0"
"發抖","0"
"發牢騷","0"
"發狂","0"
"發怒","0"
"發臭","0"
"發愁","0"
"盜","0"
"結巴","0"
"絕妙","1"
"絕望","0"
"脾氣","1"
"舒服","1"
"舒適","1"
"華麗","1"
"著迷","1"
"虛⼼","1"
"虛弱","0"
"虛榮","0"
"虛榮⼼","0"
"訴苦","0"
"詐騙","0"
"費⼒","0"
"跛","0"
"跛腳","0"
"鈍","0"
"開⼼","1"
"開明","1"
"開朗","1"
"閒散","1"
"陽光","1"
"隆重","1"
"雅緻","1"
"順利","1"
"亂","0"
"傲慢","0"
"傳情","1"
"債務","0"
"傷","0"
"傷⼈","0"
"傷亡","0"
"傷天害理","0"
"傷⼼","0"
"傷害","0"
"傷神","0"
"傷痕","0"
"傷悲","0"
"傷殘","0"
"傷痛","0"
"傷勢","0"
"傷感","0"
"傻","0"
"傻⼦","0"
"傻笑","0"
"勢利","0"
"嗚咽","0"
"嫉","0"
"嫌","0"
"徬徨","0"
"微笑","1"
"微醺","1"
"想念","1"
"惹惱","0"
"愁","0"
"愚笨","0"
"愛⼼","1"
"愛情","1"
"愛慕","1"
"愛護","1"
"感恩","1"
"感情","1"
"感傷","0"
"感激","1"
"愧","0"
"慈祥","1"
"慈善","1"
"慈悲","1"
"慌","0"
"損⼈","0"
"損害","0"
"損傷","0"
"損壞","0"
"搏⾾","0"
"敬畏","1"
"敬重","1"
"敬意","1"
"暖和","1"
"業障","0"
"極好","1"
"極端","0"
"極樂","1"
"毀掉","0"
"毀敗","0"
"毀棄","0"
"毀傷","0"
"毀損","0"
"毀滅","0"
"毀謗","0"
"毀壞","0"
"溫和","1"
"溫柔","1"
"溫情","1"
"溫暖","1"
"溫馨","1"
"滑稽","0"
"煩","0"
"煩⼈","0"
"煩⼼","0"
"煩忙","0"
"煩勞","0"
"煩悶","0"
"煩惱","0"
"煩亂","0"
"煩愁","0"
"煩瑣","0"
"煩擾","0"
"煩雜","0"
"煩躁","0"
"痴狂","0"
"禁⽌","0"
"禁忌","0"
"罪","0"
"罪⼈","0"
"罪⼤惡極","0"
"罪犯","0"
"罪名","0"
"罪⾏","0"
"罪惡","0"
"罪過","0"
"罪孽","0"
"羨慕","1"
"義","1"
"義憤","0"
"萬念俱灰","0"
"萬歲","1"
"落伍","0"
"落空","0"
"解決","1"
"解脫","1"
"詫異","0"
"詭計","0"
"詼諧","1"
"誇⼤","0"
"誠","1"
"誠⼼","1"
"誠實","1"
"賊","0"
"躲避","0"
"遇難","0"
"過失","0"
"過錯","0"
"違⼼","0"
"違犯","0"
"違抗","0"
"違法","0"
"違紀","0"
"違約","0"
"違背","0"
"違規","0"
"頑固","0"
"頑強","1"
"⿎舞","1"
"厭世","0"
"厭食","0"
"厭倦","0"
"厭惡","0"
"厭煩","0"
"嘆","0"
"嘆息","0"
"嘆氣","0"
"嫩","1"
"寧靜","1"
"對抗","0"
"對質","0"
"慘","0"
"慢","0"
"慷慨","1"
"摧毀","0"
"榮幸","1"
"榮耀","1"
"榮譽","1"
"滿⾜","1"
"滿意","1"
"漂亮","1"
"漫不經⼼","0"
"瑣事","0"
"瑣碎","0"
"疑⼼","0"
"疑神","0"
"疑惑","0"
"疑慮","0"
"疑點","0"
"疑難","0"
"疑懼","0"
"瘋","0"
"禍","0"
"福氣","1"
"精⼒","1"
"精⼼","1"
"精美","1"
"精疲⼒盡","0"
"精疲⼒竭","0"
"精彩","1"
"緊張","0"
"緊繃","0"
"腐朽","0"
"腐臭","0"
"腐敗","0"
"腐爛","0"
"認可","1"
"誤","0"
"誤會","0"
"誤解","0"
"說謊","0"
"豪爽","1"
"豪華","1"
"輕快","1"
"輕忽","0"
"輕視","0"
"輕蔑","0"
"輕鬆","1"
"遠離","0"
"鄙","0"
"酷刑","0"
"酷愛","1"
"酸","1"
"酸甜苦辣","1"
"銘印","1"
"骯髒","0"
"⿐酸","0"
"僵化","0"
"僵住","0"
"僵冷","0"
"僵局","0"
"僵持","0"
"僵硬","0"
"劇烈","1"
"嘮叨","0"
"噁","0"
"噁⼼","0"
"墮落","0"
"嫵媚","1"
"嬉笑","1"
"嬌弱","0"
"寬⼤","1"
"寬容","1"
"德⾏","1"
"慶功","1"
"慶⽣","1"
"慶幸","1"
"慶賀","1"
"憂⼼","0"
"憂患","0"
"憂勞","0"
"憂傷","0"
"憂愁","0"
"憂煩","0"
"憂慮","0"
"憂鬱","0"
"憎","0"
"憐惜","1"
"憤","0"
"摯情","1"
"摯愛","1"
"摯誠","1"
"撒謊","0"
"撫育","1"
"敵視","0"
"敵意","0"
"敵對","0"
"暴⼒","0"
"暴怒","0"
"暴躁","0"
"樂","1"
"樂⼦","1"
"樂不","1"
"樂天","1"
"樂在其中","1"
"樂此","1"
"樂⽽","1"
"樂得","1"
"樂善","1"
"樂園","1"
"樂極⽣悲","0"
"樂趣","1"
"樂觀","1"
"歎為觀⽌","1"
"毅然","1"
"潔淨","1"
"熱切","1"
"熱烈","1"
"熱衷","1"
"熱情","1"
"熱望","1"
"熱淚盈眶","1"
"熱鬧","1"
"獎","1"
"獎助","1"
"獎杯","1"
"獎狀","1"
"獎⾦","1"
"獎品","1"
"獎章","1"
"獎牌","1"
"獎賞","1"
"獎學⾦","1"
"獎勵","1"
"確定","1"
"確信","1"
"窮","0"
"窮困","0"
"糊塗","0"
"緩和","1"
"蔑視","0"
"衝突","0"
"衝擊","0"
"調⽪","1"
"調戲","0"
